cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;16384;0;147456;612072;5557969;488976;977952;6659017;0;40744;13380752;4.900788897291807e8;3.0073636e-2;3.484486077e0;3.90496e-3
1;40744;16384;0;106717;736014;6426321;588642;1177284;7750977;0;16473;15491033;6.362953767894125e8;2.3165259e-2;3.9178180400000002e0;1.8024186e-2
2;16473;16384;0;130994;691084;6082185;550943;1101886;7324212;0;23710;14658305;6.413988552988226e8;2.5412284e-2;3.676270655e0;1.542828e-2
3;23710;16384;0;123759;710054;6228527;567469;1134938;7506050;0;21268;15012562;6.400230525830886e8;2.0079041e-2;3.777966384e0;1.5187799e-2
4;21268;16384;2336;126420;701120;6166687;560653;1121306;7428460;0;21269;14856366;6.531068699643309e8;2.1188683e-2;3.7094027499999997e0;1.538561e-2
5;21269;16384;672;126117;711530;6265945;570654;1141308;7548129;0;22222;15092231;6.5455401587972e8;2.0922313e-2;3.770932796e0;1.560122e-2
6;22222;16384;1472;125088;702930;6172282;561978;1123956;7437190;0;21270;14872888;6.482383171653197e8;2.1132283e-2;3.728484338e0;1.5099599e-2
7;21270;16384;835;126163;703367;6175481;561824;1123648;7440672;0;21439;14884249;6.488166946127473e8;2.1019983e-2;3.722094042e0;1.4996369e-2
8;21439;16384;1426;126044;707161;6218366;566013;1132026;7491540;0;21293;14984339;6.505524306276577e8;2.1111874e-2;3.757811133e0;1.4934698e-2
9;21293;16384;1166;126108;710628;6255286;569547;1139094;7535461;0;21538;15071492;6.453793491967039e8;2.5742115e-2;3.7848329720000002e0;1.5360419e-2
10;21538;16384;1324;125944;698388;6128799;557563;1115126;7384750;0;21717;14764373;6.354615475676571e8;2.1039754e-2;3.71742185e0;1.5061368e-2
11;21717;16384;1056;125767;712696;6280225;571860;1143720;7564781;0;21976;15129419;6.551365416188865e8;2.0965663e-2;3.809598765e0;1.4982448e-2
12;21976;16384;1117;125485;696945;6115334;555722;1111444;7368001;0;21505;14740359;6.394323016802324e8;2.1033004e-2;3.739665366e0;1.576671e-2
13;21505;16384;1276;125928;702372;6169562;560976;1121952;7432910;0;21145;14865341;6.458313836651956e8;2.0960834e-2;3.702268381e0;1.5309939e-2
14;21145;16384;1145;126395;709907;6251972;568998;1137996;7530877;0;21870;15065037;6.484728458652054e8;2.0975263e-2;3.759119696e0;1.5219449e-2
15;21870;16384;1123;125476;700938;6158151;559688;1119376;7418777;0;21357;14841122;6.401741961482209e8;2.0956813e-2;3.709908071e0;1.5156649e-2
16;21357;16384;1050;126051;709638;6242701;568234;1136468;7520573;0;21338;15037986;6.456247084429371e8;2.0974864e-2;3.774049294e0;1.5304329e-2
17;21338;16384;666;126120;704857;6185732;563277;1126554;7453866;0;21596;14913861;6.431391062329134e8;2.0968983e-2;3.762152764e0;1.5011228e-2
18;21596;16384;1034;125807;708536;6234410;567398;1134796;7510344;0;21615;15017009;6.459887463908862e8;2.0863713e-2;3.759670348e0;1.5319769e-2
19;21615;16384;1091;125957;710583;6248300;569547;1139094;7528430;0;21829;15059781;6.509619729051563e8;2.0980174e-2;3.781299362e0;2.0192621e-2
20;21829;16384;835;125497;708929;6229485;567793;1135586;7506207;0;21739;15013897;6.486608063836111e8;2.0968234e-2;3.7517299570000002e0;1.5015488e-2
21;21739;16384;1192;125568;707944;6234897;567124;1134248;7509965;0;21679;15020288;6.523694496739827e8;2.0849793e-2;3.7516034769999997e0;1.5110409e-2
22;21679;16384;1045;125716;715240;6302069;574015;1148030;7591324;0;21509;15187063;6.563450006429087e8;2.0765333e-2;3.7956490990000002e0;1.5000228e-2
23;21509;16384;923;125910;705677;6192583;564147;1128294;7462407;0;21350;14927958;6.478402280258104e8;2.0906204e-2;3.723177304e0;1.5072308e-2
24;21350;16384;1027;126035;700655;6161239;559718;1119436;7421612;0;21805;14848585;6.551509971000581e8;2.0763004e-2;3.710767736e0;9.1065168e-2
25;21805;16384;1051;125535;695663;6092060;554348;1108696;7342071;0;21358;14686197;6.406729523243388e8;2.1180994e-2;3.670525421e0;1.5012508e-2
26;21358;16384;1100;126153;708078;6230789;566344;1132688;7505211;0;21061;15011629;6.545089642005785e8;2.0882423e-2;3.750550744e0;1.4973058e-2
27;21061;16384;888;126380;705219;6203277;564305;1128610;7472801;0;22023;14948937;6.465985392516748e8;2.0836743e-2;3.74914399e0;1.4857528e-2
28;22023;16384;845;125387;699387;6133800;557801;1115602;7390988;0;21363;14777522;6.448171699262607e8;2.0950465e-2;3.710555945e0;1.5156459e-2
29;21363;16384;1209;126014;701465;6159450;560450;1120900;7421365;0;21537;14843934;6.446795408396964e8;2.0872574e-2;3.695865548e0;1.4916779e-2
30;21537;16384;1237;125971;706797;6220696;565801;1131602;7493294;0;21659;14987576;6.508828827899293e8;2.0851345e-2;3.7523860940000002e0;1.552186e-2
31;21659;16384;943;125903;708049;6227684;566122;1132244;7501855;0;21076;15000507;6.403263423743298e8;2.0850864e-2;3.757828879e0;1.526719e-2
32;21076;16384;948;126488;706009;6217633;564800;1129600;7488442;0;21791;14978951;6.485552789662808e8;2.1314135e-2;3.7476542520000002e0;1.5051239e-2
33;21791;16384;887;125694;709394;6248874;568331;1136662;7526599;0;21919;15053715;6.525879929710623e8;2.1139595e-2;3.781947742e0;1.4950649e-2
34;21919;16384;1165;125536;701576;6158270;560102;1120204;7419948;0;21200;14840722;6.459845938107249e8;2.1150115e-2;3.747653923e0;1.5271499e-2
35;21200;16384;822;126161;699348;6144536;557575;1115150;7401459;0;21150;14808101;6.41734691881098e8;2.1147455e-2;3.690191203e0;1.4959318e-2
36;21150;16384;1209;126371;706597;6213353;565839;1131678;7485789;0;21938;14971871;6.456042713585093e8;2.1138155e-2;3.7559047740000002e0;1.4925479e-2
37;21938;16384;1067;125597;708223;6240057;567261;1134522;7515541;0;21890;15028894;6.552198157243456e8;2.1259346e-2;3.776643887e0;1.4900448e-2
38;21890;16384;1381;125450;710713;6256230;569990;1139980;7536933;0;21620;15078023;6.521103883047763e8;2.1188045e-2;3.75829815e0;1.4890429e-2
39;21620;16384;1167;125946;708545;6231454;566859;1133718;7506858;0;21097;15016752;6.57754204502705e8;2.1255005e-2;3.752177374e0;1.4966999e-2
40;21097;16384;1140;126356;706038;6211636;564870;1129740;7482544;0;21529;14968403;6.444729978353759e8;2.1205435e-2;3.732076172e0;1.5035849e-2
41;21529;16384;1148;126017;702208;6177693;561000;1122000;7440901;0;21574;14886358;6.496074738506827e8;2.1164815e-2;3.7112140780000002e0;1.547053e-2
42;21574;16384;1275;125924;704718;6198833;564042;1128084;7467593;0;21931;14932554;6.502712469288491e8;2.1164295e-2;3.715610009e0;1.5073369e-2
43;21931;16384;1064;125461;707342;6220560;566026;1132052;7493928;0;21396;14987032;6.477279826479983e8;2.1101824e-2;3.752628126e0;1.527608e-2
44;21396;16384;1128;126162;710742;6245814;569313;1138626;7525869;0;21385;15050685;6.520739477696388e8;2.1207416e-2;3.753376407e0;1.4930268e-2
45;21385;16384;1085;126192;708889;6249908;568573;1137146;7527370;0;22560;15053531;6.498769544961804e8;2.1231405e-2;3.7780230120000002e0;1.4833018e-2
46;22560;16384;1058;124797;699923;6132507;558184;1116368;7390614;0;20944;14780971;6.475001358150814e8;2.1119905e-2;3.721197004e0;1.4921238e-2
47;20944;16384;959;126603;709624;6255981;569080;1138160;7534685;0;22428;15071978;6.567907804240739e8;2.1159485e-2;3.770630832e0;1.4801538e-2
48;22428;16384;1326;125062;710067;6245619;569248;1138496;7524934;0;21729;15044709;6.570214163253788e8;2.1078975e-2;3.763599633e0;1.4913589e-2
49;21729;16384;1094;125678;705285;6193505;563812;1127624;7462602;0;21224;14922689;6.536188360079294e8;2.1161625e-2;3.715650539e0;1.4806209e-2
50;21224;16384;1086;126023;702669;6174844;562472;1124944;7439985;0;22348;14882767;6.475609976930428e8;2.1248825e-2;3.721911345e0;1.4867189e-2
51;22348;16384;1208;125104;703874;6187299;562314;1124628;7453487;0;21068;14903871;6.483249954914564e8;2.1105675e-2;3.744594174e0;2.0400223e-2
52;21068;16384;1014;126342;704188;6197256;563432;1126864;7464876;0;22024;14928562;6.482021967920032e8;2.1116345e-2;3.721322334e0;1.4890869e-2
53;22024;16384;1484;125452;710803;6256517;570300;1140600;7537620;0;21873;15074588;6.558369817077762e8;2.1215505e-2;3.780851768e0;1.4954289e-2
54;21873;16384;1139;125534;705227;6198556;564552;1129104;7468335;0;21977;14939298;6.49854146201425e8;2.1157455e-2;3.717453443e0;1.512957e-2
55;21977;16384;1270;125575;707729;6213046;566075;1132150;7486850;0;21012;14973667;6.509703824136832e8;2.1185865e-2;3.763491504e0;1.4982539e-2
56;21012;16384;1382;126442;704132;6186880;563384;1126768;7454396;0;21708;14912316;6.462658371774554e8;2.1165005e-2;3.743160651e0;1.5163009e-2
57;21708;16384;1049;125819;703736;6187451;562674;1125348;7453861;0;21800;14907254;6.412959935929307e8;2.1191325e-2;3.723425869e0;1.5082889e-2
58;21800;16384;1312;125650;702961;6172680;561549;1123098;7437190;0;21110;14877787;6.474394029634595e8;2.1125515e-2;3.71612595e0;1.514525e-2
59;21110;16384;1114;126391;700238;6152803;559474;1118948;7412515;0;22007;14826903;6.407732554150742e8;2.1095654e-2;3.6960322679999997e0;1.4895169e-2
60;22007;16384;1050;125524;706546;6214881;565628;1131256;7487055;0;21947;14974943;6.494061775733762e8;2.1261385e-2;3.724390142e0;1.510041e-2
61;21947;16384;1090;125660;708635;6228413;566867;1133734;7503915;0;21133;15007133;6.556536786090912e8;2.1118705e-2;3.774459032e0;1.5086369e-2
62;21133;16384;1064;126407;704324;6187294;562462;1124924;7454080;0;20998;14903362;6.477845386429992e8;2.1144775e-2;3.719855802e0;1.5248129e-2
63;20998;16384;870;126349;702938;6180467;562034;1124068;7445439;0;21957;14891778;6.411869713940129e8;2.1127747e-2;3.7328701410000003e0;1.5054599e-2
64;21957;16384;1094;125523;700144;6143078;558489;1116978;7401711;0;21115;14804620;6.439071772183813e8;2.1113268e-2;3.703758987e0;1.5081108e-2
65;21115;16384;1109;126298;707485;6225646;566189;1132378;7499320;0;21392;15002705;6.451502993120799e8;2.1209678e-2;3.741135437e0;1.4927678e-2
66;21392;16384;967;126078;709548;6236602;568304;1136608;7514454;0;21643;15032333;6.50915065339758e8;2.1096668e-2;3.7867355529999998e0;1.5184468e-2
67;21643;16384;1207;125974;703991;6183004;562970;1125940;7449965;0;21773;14893731;6.375698130471723e8;2.1082148e-2;3.750400437e0;1.5855411e-2
68;21773;16384;825;125815;708912;6233998;567053;1134106;7509963;0;21288;15018370;6.442385775971707e8;2.2126171e-2;3.748772612e0;1.5164998e-2
69;21288;16384;1547;125983;701061;6164207;560511;1121022;7425779;0;21558;14848386;6.406282366066028e8;2.1250538e-2;3.697553717e0;1.5391599e-2
70;21558;16384;1176;125901;706195;6206048;565053;1130106;7477296;0;21525;14957659;6.444519757047045e8;2.1172688e-2;3.753342596e0;1.5215589e-2
71;21525;16384;1190;125936;703212;6179628;562079;1124158;7444919;0;21522;14889206;6.496097673868461e8;2.1112938e-2;3.721032192e0;1.4891378e-2
72;21522;16384;1295;126005;702163;6176668;560989;1121978;7439820;0;21442;14880961;6.442035629444343e8;2.1196528e-2;3.7195188679999998e0;1.4918138e-2
73;21442;16384;1172;125993;707804;6226016;566376;1132752;7500196;0;21219;14996385;6.499063010032903e8;2.1181408e-2;3.74841944e0;1.4982908e-2
74;21219;16384;882;126288;704307;6201361;563271;1126542;7468939;0;21973;14941134;6.46766789617099e8;2.1132838e-2;3.741218917e0;1.4884028e-2
75;21973;16384;876;125457;716809;6313736;575916;1151832;7606461;0;22045;15215037;6.53536825808334e8;2.1172358e-2;3.785289909e0;1.5006958e-2
76;22045;16384;1490;125408;704929;6201001;564007;1128014;7469937;0;21425;14935444;6.560360786922004e8;2.1110138e-2;3.749364933e0;1.4835657e-2
77;21425;16384;1286;125974;696286;6109441;554970;1109940;7360697;0;21181;14732530;6.398052999481255e8;2.1258628e-2;3.706157605e0;1.4831498e-2
78;21181;16384;1151;126300;712145;6268458;571184;1142368;7551787;0;21753;15106312;6.555966267097222e8;2.1237898e-2;3.753219286e0;1.4954928e-2
79;21753;16384;1050;125744;702746;6184157;561667;1123334;7448570;0;21752;14893633;6.451152273692826e8;2.1227598e-2;3.724220583e0;1.5046888e-2
80;21752;16384;1013;125745;709195;6239143;567849;1135698;7516187;0;21522;15031862;6.52668714963112e8;2.1239629e-2;3.762024964e0;1.5192488e-2
81;21522;16384;978;125873;706580;6206379;565290;1130580;7478249;0;21511;14954394;6.464044726801864e8;2.1210418e-2;3.734749957e0;1.5149998e-2
82;21511;16384;981;125899;712579;6279749;571726;1143452;7564054;0;21960;15129321;6.517470783267013e8;2.1266908e-2;3.796592525e0;1.5022558e-2
83;21960;16384;1349;125540;702100;6165363;560510;1121020;7427973;0;20945;14857843;6.443936274198631e8;2.1233298e-2;3.6978140379999997e0;1.4888078e-2
84;20945;16384;1039;126511;706440;6207876;565695;1131390;7480011;0;22056;14965249;6.429999289048388e8;2.1211898e-2;3.737396025e0;1.4972688e-2
85;22056;16384;833;125288;711277;6259015;569942;1139884;7540234;0;21560;15081392;6.544755540172383e8;2.1145238e-2;3.747858269e0;1.4814557e-2
86;21560;16384;1049;125834;706457;6220148;565311;1130622;7491916;0;21583;14982810;6.520662209043014e8;2.2153271e-2;3.749547684e0;1.4877528e-2
87;21583;16384;936;125883;703052;6179991;562000;1124000;7445043;0;21862;14890813;6.470528459433187e8;2.1182718e-2;3.710617009e0;1.5122848e-2
88;21862;16384;882;125432;704285;6190560;562734;1125468;7457579;0;21245;14915135;6.473631387074192e8;2.1128637e-2;3.729707271e0;1.5072989e-2
89;21245;16384;1132;126332;700931;6155160;559847;1119694;7415938;0;21745;14833778;6.444957708133544e8;2.1290438e-2;3.700118205e0;1.5008588e-2
90;21745;16384;935;125565;714794;6291231;573135;1146270;7579160;0;21100;15160882;6.514492341020684e8;2.1092578e-2;3.784162965e0;1.5197599e-2
91;21100;16384;926;126470;707935;6224254;566357;1132714;7498546;0;21450;14995740;6.463456461997149e8;2.1304939e-2;3.752137392e0;1.4838597e-2
92;21450;16384;892;126021;700120;6153610;558795;1117590;7412525;0;21638;14824492;6.412016356312808e8;2.1226949e-2;3.684575985e0;1.5101228e-2
93;21638;16384;1240;125753;701756;6170406;561236;1122472;7433398;0;22015;14871269;6.471376189270879e8;2.1234808e-2;3.722200276e0;1.9936464e-2
94;22015;16384;1194;125339;703085;6171167;561746;1123492;7435998;0;21205;14868103;6.46150057371597e8;2.1101648e-2;3.7118868430000003e0;1.4987158e-2
95;21205;16384;941;126071;701762;6172231;560639;1121278;7434632;0;21596;14872830;6.464288535594251e8;2.1236108e-2;3.704152388e0;1.4947168e-2
96;21596;16384;906;125864;712345;6265399;570992;1141984;7548736;0;21585;15098829;6.552310543108367e8;2.1236438e-2;3.7561050849999997e0;1.4895378e-2
97;21585;16384;1226;125881;701516;6163538;559880;1119760;7424934;0;20988;14852721;6.463560809853923e8;2.1294709e-2;3.695879411e0;1.5184839e-2
98;20988;16384;1073;126516;700872;6163262;559782;1119564;7423916;0;21725;14842257;6.353821087766545e8;2.1257479e-2;3.722082945e0;1.4807897e-2
99;21725;16384;1219;125726;705851;6199254;564308;1128616;7469413;0;21073;14940319;6.52777737264856e8;2.1163088e-2;3.764687453e0;1.4936039e-2
